PRIMARY_KEY,STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,GRADES_PK_G,GRADES_KG_G,GRADES_4_G,GRADES_8_G,GRADES_12_G,GRADES_1_8_G,GRADES_9_12_G,GRADES_ALL_G,AVG_MATH_4_SCORE,AVG_MATH_8_SCORE,AVG_READING_4_SCORE,AVG_READING_8_SCORE
2008_OKLAHOMA,OKLAHOMA,2008,641682,5780151,642088,2957101,2180962,5667749,2773416,1823162,555187,459000,37726,50497,47245,45149,38798,378557,176679,645108,,,,
2008_OREGON,OREGON,2008,562632,6107684,515223,3200001,2392460,6407512,3217111,2061901,212339,621540,11855,40556,43272,43339,46120,343010,179972,575393,,,,
2008_PENNSYLVANIA,PENNSYLVANIA,2008,1718588,26357235,1868700,9032615,15455920,26597713,12375013,7655651,1095105,2537699,13686,126197,130592,139173,136937,1053231,579521,1775029,,,,
2008_RHODE_ISLAND,RHODE_ISLAND,2008,143812,2173888,164966,836509,1172413,2175172,1229747,765970,88156,28023,1985,9905,9752,11422,10709,86093,47359,145342,,,,
2008_SOUTH_CAROLINA,SOUTH_CAROLINA,2008,710685,7743317,693967,3916453,3132897,8167262,3745507,2467160,389371,1179283,23376,52468,53996,53446,43189,431758,210511,718113,,,,
2008_SOUTH_DAKOTA,SOUTH_DAKOTA,2008,121606,1190917,180925,394721,615271,1172715,609848,351235,61081,114678,2626,10315,9234,9446,8831,74536,38952,126429,,,,
2008_TENNESSEE,TENNESSEE,2008,966963,8086152,840919,3711646,3533587,8488521,4709467,2373319,451628,735501,16864,76156,75091,72255,65306,591529,287401,971950,,,,
2008_TEXAS,TEXAS,2008,4581517,46245975,4501845,19923849,21820281,50205827,22845539,13360064,2214832,8133118,224759,362318,355578,343548,280308,2859434,1305637,4752148,,,,
2008_UTAH,UTAH,2008,556314,4198001,380907,2363716,1453378,4337917,2068264,948423,289783,929772,9480,47046,44546,40261,37818,347943,155309,559778,,,,
2008_VERMONT,VERMONT,2008,87919,1888635,94504,1290067,504064,1888133,831132,463215,44089,83821,4698,6192,6471,7004,7520,52104,30631,93625,,,,
2008_VIRGINIA,VIRGINIA,2008,1230857,14768120,897627,5957786,7912707,15236306,8003167,4645375,555074,1528769,29987,89931,91133,92881,87177,735090,380787,1235795,,,,
2008_WASHINGTON,WASHINGTON,2008,1029576,11195224,895642,6932500,3367082,11677666,5561706,3369299,501855,1797341,10995,73831,77999,78902,79916,619968,332224,1037018,,,,
2008_WEST_VIRGINIA,WEST_VIRGINIA,2008,281735,2965828,320529,1723068,922231,3068910,1667812,945152,190634,249687,13150,20919,20162,21268,18914,165408,83252,282729,,,,
2008_WISCONSIN,WISCONSIN,2008,867929,10619354,629423,5221550,4768381,10545964,5619617,3294291,451721,666877,43161,60384,60319,62317,71799,485983,284222,873750,,,,
2008_WYOMING,WYOMING,2008,85991,1602514,100207,846239,656068,1517325,703831,449989,43352,309892,452,7215,6608,6456,6111,52968,26526,87161,,,,
2009_ALABAMA,ALABAMA,2009,745668,7186390,728795,4161103,2296492,7815467,3836398,2331552,561019,924956,7774,57019,59512,57027,48164,464601,219495,748889,228,269,216,255
2009_ALASKA,ALASKA,2009,130236,2158970,312667,1357747,488556,2396412,1129756,832783,70835,303165,2475,9804,10046,9626,9779,78545,40837,131661,237,283,211,259
2009_ARIZONA,ARIZONA,2009,981303,8802515,1044140,3806064,3952311,9580393,4296503,2983729,455403,1312659,9175,84191,83686,82163,79283,666897,317397,1077831,230,277,210,258
2009_ARKANSAS,ARKANSAS,2009,474423,4753142,534510,3530487,688145,5017352,2417974,1492691,533057,409763,13504,38115,36479,35715,30567,292256,136213,480559,238,276,216,258
2009_CALIFORNIA,CALIFORNIA,2009,6234155,73958896,9745250,40084244,24129402,74766086,35617964,21693675,3759373,8881265,71783,471058,465866,472856,478503,3717166,1997064,6263438,232,270,210,253
2009_COLORADO,COLORADO,2009,812068,8310673,560538,3634018,4116117,8682489,4108304,2708535,330128,1035058,29701,64190,62929,59129,58526,497487,240990,832368,243,287,226,266
2009_CONNECTICUT,CONNECTICUT,2009,539250,9681268,403017,3606594,5671657,9323053,5054397,2805173,330685,763075,15689,39866,41510,42999,41029,334409,174004,563968,245,289,229,272
2009_DELAWARE,DELAWARE,2009,116804,1718993,109682,1047418,561893,1798244,877678,496383,80812,254460,755,9537,9672,9519,8317,77418,39091,126801,239,284,226,265
2009_DISTRICT_OF_COLUMBIA,DISTRICT_OF_COLUMBIA,2009,44331,801008,75856,0,725152,805362,330698,370127,38514,66023,8499,5190,4893,4452,3301,37698,17597,69433,219,254,202,242
2009_FLORIDA,FLORIDA,2009,2623067,26494500,2694566,9047586,14752348,28867429,13884278,8067350,1546420,4533913,51495,196057,199322,198245,172321,1603349,783621,2634522,242,279,226,264
2009_GEORGIA,GEORGIA,2009,1649598,17972839,1644548,7739086,8589205,19025136,10063924,5135180,837062,2712073,41940,131325,130091,124084,97779,1021486,472934,1667685,236,278,218,260
2009_HAWAII,HAWAII,2009,179478,2689758,392837,2205032,91889,2318671,1402305,718309,129473,68584,1547,15970,14249,12967,10621,109861,52630,180196,236,274,211,255
2009_IDAHO,IDAHO,2009,267951,2182273,218777,1459554,503942,2078446,1157633,646213,100576,111190,2646,21605,21337,21019,19250,170477,81571,276299,241,287,221,265
2009_ILLINOIS,ILLINOIS,2009,2117291,26987426,3346509,7879160,15761757,27716187,13520105,8764971,932950,2884993,84727,148097,154405,155003,146476,1230889,640462,2104175,238,282,219,265
2009_INDIANA,INDIANA,2009,1028259,12999357,1403839,5804809,5790709,11218398,5548292,3681825,476598,899628,12444,78224,79992,80983,72999,639931,316062,1046661,243,287,223,266
2009_IOWA,IOWA,2009,487559,5732319,431142,2545353,2755824,5732186,2914176,1615189,225983,672339,21804,38956,35225,35239,38685,280573,150509,491842,243,284,221,265
2009_KANSAS,KANSAS,2009,470445,5615208,378810,3291485,1944913,5827751,2883104,1578417,223951,958961,10509,36461,35782,34596,33522,282847,140240,474489,245,289,224,267
2009_KENTUCKY,KENTUCKY,2009,669858,6706922,719997,3870440,2116485,6831006,3468191,2050683,411529,720114,27909,51276,51027,49298,43097,405017,195515,680089,239,279,226,267
2009_LOUISIANA,LOUISIANA,2009,662774,7984550,1238259,3568903,3177388,8053960,4051985,2542723,408292,824390,29447,53763,59998,52818,38828,426673,181032,690915,229,272,207,253
2009_MAINE,MAINE,2009,187372,2623127,245063,1107152,1270912,2624504,1383650,857706,148378,108016,3783,13704,13769,14438,15246,111159,60579,189225,244,286,224,268
2009_MARYLAND,MARYLAND,2009,843781,13147931,694846,5697257,6755828,12757599,6899346,3984072,490336,961161,28626,61428,61183,62590,61273,491731,266627,848412,244,288,226,267
2009_MASSACHUSETTS,MASSACHUSETTS,2009,932437,15298022,1181681,5974489,8141852,15174814,8885949,4626112,456737,589413,27871,68369,71078,72093,67973,569489,290502,957053,252,299,234,274
2009_MICHIGAN,MICHIGAN,2009,1537515,19616665,2094714,10130740,7391211,19992550,9422685,6354021,865858,1280455,29850,126313,118702,121463,126181,948457,529531,1649082,236,278,218,262
2009_MINNESOTA,MINNESOTA,2009,800831,10353784,575703,6590788,3187293,11193640,5815987,2712430,803017,1187008,13933,63111,60640,61281,74532,487617,272392,837053,249,294,223,270
2009_MISSISSIPPI,MISSISSIPPI,2009,491194,4392101,675576,2334363,1382162,4552756,2317710,1392119,275915,493773,3607,39148,39651,36577,28943,304201,137511,492481,227,265,211,251
2009_MISSOURI,MISSOURI,2009,893807,9472520,758650,3927189,4786681,10227305,5175127,3023041,535977,1120105,25584,69016,68730,67430,67254,543482,279900,917982,241,286,224,267
2009_MONTANA,MONTANA,2009,141782,1607935,195705,765177,647053,1622485,855803,509899,66973,158151,1209,10960,10499,10911,10563,85699,43939,141807,244,292,225,270
2009_NEBRASKA,NEBRASKA,2009,292161,3522481,297732,1182776,2041973,3523803,1887427,905681,144995,488293,11954,23577,21517,20834,22266,171329,88508,295368,239,284,223,267
2009_NEVADA,NEVADA,2009,430985,4442101,425133,2272415,1744553,4577881,2145779,1364083,142194,633545,3953,32038,33664,33291,25935,269058,123420,428947,235,274,211,254
2009_NEW_HAMPSHIRE,NEW_HAMPSHIRE,2009,197024,2816162,146867,1002239,1667056,2757401,1546316,822081,74820,112359,2987,11969,14560,15517,15588,117812,64372,197140,251,292,229,271
2009_NEW_JERSEY,NEW_JERSEY,2009,1354912,26510413,1014556,10401527,15094330,26145334,13800343,8687138,952796,1499241,33937,95251,99911,100749,98733,802749,412848,1396029,247,293,229,273
2009_NEW_MEXICO,NEW_MEXICO,2009,328737,3703477,519973,2615320,568184,3945515,1807514,1167618,132017,784529,7406,26266,25358,24126,20150,201671,99076,334419,230,270,208,254
2009_NEW_YORK,NEW_YORK,2009,2696688,55885116,3197833,25768345,26918938,57851481,35195372,14079990,1415237,5463718,51251,190741,193473,198690,188377,1550122,858087,2766052,241,283,224,264
2009_NORTH_CAROLINA,NORTH_CAROLINA,2009,1452064,15410564,1377661,8229140,5803763,14868070,7943541,3848021,751609,1647148,26688,104954,116876,109864,88983,921621,429596,1483397,244,284,219,260
2009_NORTH_DAKOTA,NORTH_DAKOTA,2009,94653,1150142,160294,407374,582474,1137260,579830,310316,78735,95977,1285,7472,6547,7308,7637,55819,30497,95073,245,293,226,269
2009_OHIO,OHIO,2009,1729072,22779344,1531263,10226228,11021853,22427481,10734314,7347959,929409,2552105,29329,131114,133751,134169,118872,1064903,538951,1764297,244,286,225,269
2009_OKLAHOMA,OKLAHOMA,2009,644549,6029807,768972,3014993,2245842,5941799,2836912,1895590,577867,568720,39784,51037,48457,45268,40046,384931,177366,654802,237,276,217,259
2009_OREGON,OREGON,2009,560726,6158756,656298,3117315,2385143,6715011,3291310,2121378,214699,803096,21143,40563,43059,43261,46088,342745,178388,582839,238,285,218,265
2009_PENNSYLVANIA,PENNSYLVANIA,2009,1687145,26755585,1811141,9858461,15085983,27328680,12803821,7637090,1155635,2411908,15239,128947,132213,137072,140845,1055000,584316,1785993,244,288,224,271
2009_RHODE_ISLAND,RHODE_ISLAND,2009,141521,2179714,206225,765069,1208420,2171376,1224158,773039,90493,24161,2109,10254,10188,11275,10697,85821,46934,145118,239,278,223,260
2009_SOUTH_CAROLINA,SOUTH_CAROLINA,2009,714290,7669733,734602,3654658,3280473,8427391,3854229,2463391,398422,1318784,24425,53615,55671,52711,44364,434084,211019,723143,236,280,216,257
2009_SOUTH_DAKOTA,SOUTH_DAKOTA,2009,126624,1258876,201889,412798,644189,1273527,645912,379946,56772,154459,1367,10560,9245,9251,8741,73818,37968,123713,242,291,222,270
2009_TENNESSEE,TENNESSEE,2009,971484,8112895,870374,3800870,3441651,8611178,4809809,2480290,461464,652210,16506,76745,75052,71050,66366,593417,285881,972549,232,275,217,261
2009_TEXAS,TEXAS,2009,4647205,48087531,4913841,19708771,23464919,53575273,23895853,13799383,2289408,9297597,239030,369433,368175,346524,291130,2911885,1329862,4850210,240,287,219,260
2009_UTAH,UTAH,2009,532433,4238943,535223,2224007,1479713,4419750,2169434,1008636,310325,821593,8225,47684,45610,40997,38995,357434,158243,571586,240,284,219,266
2009_VERMONT,VERMONT,2009,86320,1683034,102453,1336424,244157,1661019,859433,489015,49100,64170,4837,6216,6237,6647,7328,51133,29265,91451,248,293,229,272
2009_VIRGINIA,VIRGINIA,2009,1235064,15251481,914507,6317714,8019260,15510318,8194237,4813706,574858,1418914,30600,92281,93708,92075,87839,741139,381320,1245340,243,286,227,266
